REF_DATE,GEO,Gender,Indicators,VALUE,Age group,Characteristics
1995,Ontario,X Gender,"No, do not feel lonely",12.0,5 to 10 years,Other
1995,Ontario,X Gender,"No, do not feel lonely",6.7,5 to 10 years,Living with two parents
1995,Ontario,X Gender,"Sometimes, feels lonely",34.7,5 to 10 years,Living with lone parent
1995,Ontario,X Gender,"No, do not feel lonely",7.0,15 to 19 years,Other
1995,Ontario,X Gender,"Yes, feels lonely",43.8,0 to 4 years,Living with lone parent
1995,Saskatchewan,X Gender,"No, do not feel lonely",11.6,0 to 4 years,Living with two parents
1995,Saskatchewan,X Gender,"Sometimes, feels lonely",21.4,11 to 14 years,Other
1995,Saskatchewan,X Gender,"Sometimes, feels lonely",15.0,11 to 14 years,Living with two parents
1995,Alberta,X Gender,"No, do not feel lonely",12.6,15 to 19 years,Other
1995,Alberta,X Gender,"Sometimes, feels lonely",37.8,15 to 19 years,Living with lone parent
1995,Alberta,X Gender,"Sometimes, feels lonely",37.3,15 to 19 years,Not living with any parent
1995,Alberta,X Gender,"No, do not feel lonely",12.5,20 to 24 years,Other
1995,Alberta,X Gender,"Sometimes, feels lonely",20.3,20 to 24 years,Not living with any parent
1995,British Columbia,X Gender,"No, do not feel lonely",14.3,25 to 64 years,Other
1995,British Columbia,X Gender,"No, do not feel lonely",11.9,25 to 64 years,Living with two parents
1995,British Columbia,X Gender,"Sometimes, feels lonely",20.1,25 to 64 years,Living with lone parent
1995,Alberta,X Gender,"Sometimes, feels lonely",31.6,5 to 10 years,Living with lone parent
1995,British Columbia,X Gender,"Sometimes, feels lonely",21.7,25 to 64 years,Not living with any parent
1995,British Columbia,X Gender,"No, do not feel lonely",14.3,11 to 14 years,Other
1995,British Columbia,X Gender,"No, do not feel lonely",12.3,11 to 14 years,Living with two parents
1995,British Columbia,X Gender,"No, do not feel lonely",14.8,5 to 10 years,Other
1995,British Columbia,X Gender,"No, do not feel lonely",13.8,5 to 10 years,Living with two parents
1995,British Columbia,X Gender,"No, do not feel lonely",13.3,15 to 19 years,Other
1995,British Columbia,X Gender,"No, do not feel lonely",13.9,20 to 24 years,Other
1995,British Columbia,X Gender,"Sometimes, feels lonely",19.3,20 to 24 years,Not living with any parent
1995,Territories,X Gender,"Sometimes, feels lonely",15.5,25 to 64 years,Other
1995,British Columbia,X Gender,"No, do not feel lonely",14.9,0 to 4 years,Other
1995,Quebec,X Gender,"Sometimes, feels lonely",26.2,15 to 19 years,Living with lone parent
1995,Alberta,X Gender,"No, do not feel lonely",10.8,5 to 10 years,Living with two parents
1995,Alberta,X Gender,"Sometimes, feels lonely",35.4,11 to 14 years,Not living with any parent
1995,Saskatchewan,X Gender,"Yes, feels lonely",46.3,11 to 14 years,Living with lone parent
1995,Saskatchewan,X Gender,"Yes, feels lonely",58.4,11 to 14 years,Not living with any parent
1995,Saskatchewan,X Gender,"Sometimes, feels lonely",23.0,5 to 10 years,Other
1995,Saskatchewan,X Gender,"Sometimes, feels lonely",16.6,5 to 10 years,Living with two parents
1995,Saskatchewan,X Gender,"Yes, feels lonely",53.6,5 to 10 years,Living with lone parent
1995,Saskatchewan,X Gender,"Sometimes, feels lonely",17.9,15 to 19 years,Other
1995,Saskatchewan,X Gender,"Yes, feels lonely",59.4,15 to 19 years,Not living with any parent
1995,Saskatchewan,X Gender,"Sometimes, feels lonely",20.6,20 to 24 years,Other
1995,Alberta,X Gender,"No, do not feel lonely",14.5,5 to 10 years,Other
1995,Saskatchewan,X Gender,"Sometimes, feels lonely",29.5,20 to 24 years,Not living with any parent
1995,Alberta,X Gender,"No, do not feel lonely",9.1,25 to 64 years,Living with two parents
1995,Alberta,X Gender,"Sometimes, feels lonely",35.5,25 to 64 years,Living with lone parent
1995,Alberta,X Gender,"Sometimes, feels lonely",22.4,25 to 64 years,Not living with any parent
1995,Alberta,X Gender,"Sometimes, feels lonely",17.7,0 to 4 years,Other
1995,Alberta,X Gender,"No, do not feel lonely",13.3,0 to 4 years,Living with two parents
1995,Alberta,X Gender,"No, do not feel lonely",13.9,11 to 14 years,Other
1995,Alberta,X Gender,"No, do not feel lonely",9.0,11 to 14 years,Living with two parents
1995,Alberta,X Gender,"Sometimes, feels lonely",33.2,11 to 14 years,Living with lone parent
1995,Alberta,X Gender,"No, do not feel lonely",14.3,25 to 64 years,Other
1995,Quebec,X Gender,"No, do not feel lonely",12.4,15 to 19 years,Living with two parents
1995,Manitoba,X Gender,"No, do not feel lonely",8.7,25 to 64 years,Living with two parents
1995,Quebec,X Gender,"Yes, feels lonely",46.3,5 to 10 years,Living with lone parent
1995,Newfoundland and Labrador,X Gender,"Sometimes, feels lonely",17.9,25 to 64 years,Living with two parents
1995,Newfoundland and Labrador,X Gender,"Yes, feels lonely",46.0,25 to 64 years,Living with lone parent
1995,Newfoundland and Labrador,X Gender,"Yes, feels lonely",45.8,25 to 64 years,Not living with any parent
1995,Newfoundland and Labrador,X Gender,"Sometimes, feels lonely",26.6,0 to 4 years,Other
1995,Newfoundland and Labrador,X Gender,"Sometimes, feels lonely",19.9,0 to 4 years,Living with two parents
1995,Newfoundland and Labrador,X Gender,"Sometimes, feels lonely",24.1,11 to 14 years,Other
1995,Newfoundland and Labrador,X Gender,"Sometimes, feels lonely",18.8,11 to 14 years,Living with two parents
1995,Newfoundland and Labrador,X Gender,"Yes, feels lonely",53.3,11 to 14 years,Living with lone parent
1995,Newfoundland and Labrador,X Gender,"Sometimes, feels lonely",23.9,25 to 64 years,Other
1995,Newfoundland and Labrador,X Gender,"Sometimes, feels lonely",22.3,5 to 10 years,Other
1995,Newfoundland and Labrador,X Gender,"Yes, feels lonely",53.0,5 to 10 years,Living with lone parent
1995,Newfoundland and Labrador,X Gender,"Sometimes, feels lonely",26.7,15 to 19 years,Other
1995,Newfoundland and Labrador,X Gender,"Sometimes, feels lonely",21.3,15 to 19 years,Living with two parents
1995,Newfoundland and Labrador,X Gender,"Sometimes, feels lonely",21.3,20 to 24 years,Other
1995,Newfoundland and Labrador,X Gender,"Yes, feels lonely",40.8,20 to 24 years,Not living with any parent
1995,Prince Edward Island,X Gender,"No, do not feel lonely",7.1,25 to 64 years,Other
1995,Nova Scotia,X Gender,"Sometimes, feels lonely",17.7,25 to 64 years,Other
1995,Nova Scotia,X Gender,"No, do not feel lonely",8.4,25 to 64 years,Living with two parents
1995,Newfoundland and Labrador,X Gender,"Sometimes, feels lonely",17.1,5 to 10 years,Living with two parents
1995,Nova Scotia,X Gender,"Yes, feels lonely",53.2,25 to 64 years,Living with lone parent
1995,Territories,X Gender,"Sometimes, feels lonely",26.1,20 to 24 years,Not living with any parent
1995,Quebec,X Gender,"Sometimes, feels lonely",18.2,15 to 19 years,Other
1995,Territories,X Gender,"No, do not feel lonely",9.8,25 to 64 years,Living with two parents
1995,Territories,X Gender,"Sometimes, feels lonely",32.6,25 to 64 years,Living with lone parent
1995,Territories,X Gender,"Sometimes, feels lonely",29.7,25 to 64 years,Not living with any parent
1995,Territories,X Gender,"Sometimes, feels lonely",16.5,0 to 4 years,Other
1995,Territories,X Gender,"No, do not feel lonely",10.9,0 to 4 years,Living with two parents
1995,Territories,X Gender,"Yes, feels lonely",49.1,0 to 4 years,Living with lone parent
1995,Territories,X Gender,"Sometimes, feels lonely",15.1,11 to 14 years,Other
1995,Territories,X Gender,"No, do not feel lonely",10.3,11 to 14 years,Living with two parents
1995,Territories,X Gender,"No, do not feel lonely",5.6,20 to 24 years,Living with two parents
1995,Territories,X Gender,"Sometimes, feels lonely",32.2,11 to 14 years,Living with lone parent
1995,Territories,X Gender,"Sometimes, feels lonely",16.2,5 to 10 years,Other
1995,Territories,X Gender,"No, do not feel lonely",11.6,5 to 10 years,Living with two parents
1995,Territories,X Gender,"Sometimes, feels lonely",37.3,5 to 10 years,Living with lone parent
1995,Territories,X Gender,"Sometimes, feels lonely",32.8,5 to 10 years,Not living with any parent
1995,Territories,X Gender,"No, do not feel lonely",12.9,15 to 19 years,Other
1995,Territories,X Gender,"No, do not feel lonely",7.5,15 to 19 years,Living with two parents
1995,Territories,X Gender,"Sometimes, feels lonely",22.0,15 to 19 years,Living with lone parent
1995,Territories,X Gender,"Yes, feels lonely",49.9,15 to 19 years,Not living with any parent
1995,Territories,X Gender,"Yes, feels lonely",45.7,11 to 14 years,Not living with any parent
1995,Nova Scotia,X Gender,"Sometimes, feels lonely",32.7,25 to 64 years,Not living with any parent
1995,Territories,X Gender,"Sometimes, feels lonely",15.6,20 to 24 years,Other
1995,Nova Scotia,X Gender,"No, do not feel lonely",12.3,0 to 4 years,Living with two parents
1995,New Brunswick,X Gender,"No, do not feel lonely",14.6,5 to 10 years,Living with two parents
1995,New Brunswick,X Gender,"Yes, feels lonely",62.4,5 to 10 years,Living with lone parent
1995,New Brunswick,X Gender,"No, do not feel lonely",13.2,15 to 19 years,Other
1995,New Brunswick,X Gender,"No, do not feel lonely",11.3,20 to 24 years,Other
1995,New Brunswick,X Gender,"Sometimes, feels lonely",25.5,20 to 24 years,Not living with any parent
1995,Quebec,X Gender,"Sometimes, feels lonely",20.5,25 to 64 years,Other
1995,Quebec,X Gender,"No, do not feel lonely",14.1,25 to 64 years,Living with two parents
1995,Quebec,X Gender,"Sometimes, feels lonely",37.9,25 to 64 years,Living with lone parent
1995,New Brunswick,X Gender,"Sometimes, feels lonely",22.6,5 to 10 years,Other
1995,Quebec,X Gender,"Sometimes, feels lonely",18.1,0 to 4 years,Other
1995,Quebec,X Gender,"Yes, feels lonely",62.4,0 to 4 years,Living with lone parent
1995,Quebec,X Gender,"Sometimes, feels lonely",21.4,11 to 14 years,Other
1995,Quebec,X Gender,"Sometimes, feels lonely",16.5,11 to 14 years,Living with two parents
1995,Quebec,X Gender,"Sometimes, feels lonely",38.1,11 to 14 years,Living with lone parent
1995,Quebec,X Gender,"Yes, feels lonely",66.3,11 to 14 years,Not living with any parent
1995,Quebec,X Gender,"Sometimes, feels lonely",23.3,5 to 10 years,Other
1995,Nova Scotia,X Gender,"Sometimes, feels lonely",25.7,0 to 4 years,Other
1995,Quebec,X Gender,"Sometimes, feels lonely",18.6,5 to 10 years,Living with two parents
1995,Quebec,X Gender,"No, do not feel lonely",11.4,0 to 4 years,Living with two parents
1995,New Brunswick,X Gender,"Yes, feels lonely",56.0,11 to 14 years,Living with lone parent
1995,Quebec,X Gender,"Sometimes, feels lonely",39.9,25 to 64 years,Not living with any parent
1995,New Brunswick,X Gender,"Sometimes, feels lonely",19.2,11 to 14 years,Other
1995,Nova Scotia,X Gender,"Sometimes, feels lonely",16.3,11 to 14 years,Other
1995,New Brunswick,X Gender,"No, do not feel lonely",12.4,11 to 14 years,Living with two parents
1995,Nova Scotia,X Gender,"No, do not feel lonely",8.0,11 to 14 years,Living with two parents
1995,Nova Scotia,X Gender,"Yes, feels lonely",49.4,11 to 14 years,Living with lone parent
1995,Nova Scotia,X Gender,"Yes, feels lonely",49.7,11 to 14 years,Not living with any parent
1995,Nova Scotia,X Gender,"No, do not feel lonely",13.8,5 to 10 years,Other
1995,Nova Scotia,X Gender,"No, do not feel lonely",6.5,5 to 10 years,Living with two parents
1995,Nova Scotia,X Gender,"Yes, feels lonely",52.3,5 to 10 years,Living with lone parent
1995,Nova Scotia,X Gender,"Sometimes, feels lonely",20.1,15 to 19 years,Other
1995,Nova Scotia,X Gender,"Yes, feels lonely",75.2,0 to 4 years,Living with lone parent
1995,Nova Scotia,X Gender,"Yes, feels lonely",44.4,15 to 19 years,Living with lone parent
1995,Nova Scotia,X Gender,"No, do not feel lonely",13.8,20 to 24 years,Other
1995,Nova Scotia,X Gender,"Sometimes, feels lonely",25.1,20 to 24 years,Not living with any parent
1995,New Brunswick,X Gender,"Sometimes, feels lonely",18.1,25 to 64 years,Other
1995,New Brunswick,X Gender,"No, do not feel lonely",11.3,25 to 64 years,Living with two parents
1995,New Brunswick,X Gender,"Yes, feels lonely",55.7,25 to 64 years,Living with lone parent
1995,New Brunswick,X Gender,"Sometimes, feels lonely",25.1,25 to 64 years,Not living with any parent
1995,New Brunswick,X Gender,"Sometimes, feels lonely",21.8,0 to 4 years,Other
1996,Manitoba,X Gender,"Yes, feels lonely",45.4,11 to 14 years,Living with lone parent
1996,Manitoba,X Gender,"No, do not feel lonely",12.5,11 to 14 years,Living with two parents
1996,Manitoba,X Gender,"Sometimes, feels lonely",19.1,11 to 14 years,Other
1996,Manitoba,X Gender,"Sometimes, feels lonely",25.0,0 to 4 years,Other
1996,Manitoba,X Gender,"No, do not feel lonely",13.3,25 to 64 years,Living with two parents
1996,Manitoba,X Gender,"Sometimes, feels lonely",20.0,0 to 4 years,Living with two parents
1996,Manitoba,X Gender,"Yes, feels lonely",45.7,25 to 64 years,Living with lone parent
1996,Manitoba,X Gender,"Yes, feels lonely",53.7,11 to 14 years,Not living with any parent
1996,Manitoba,X Gender,"Yes, feels lonely",66.4,0 to 4 years,Living with lone parent
1996,Manitoba,X Gender,"Sometimes, feels lonely",28.7,25 to 64 years,Not living with any parent
1996,Manitoba,X Gender,"Sometimes, feels lonely",23.2,20 to 24 years,Not living with any parent
1996,Manitoba,X Gender,"No, do not feel lonely",14.6,5 to 10 years,Living with two parents
1996,Manitoba,X Gender,"Yes, feels lonely",54.7,5 to 10 years,Living with lone parent
1996,Manitoba,X Gender,"Sometimes, feels lonely",15.0,15 to 19 years,Other
1996,Manitoba,X Gender,"No, do not feel lonely",7.6,15 to 19 years,Living with two parents
1996,Manitoba,X Gender,"Yes, feels lonely",56.6,15 to 19 years,Not living with any parent
1996,Manitoba,X Gender,"No, do not feel lonely",14.8,20 to 24 years,Other
1996,Saskatchewan,X Gender,"Sometimes, feels lonely",24.1,25 to 64 years,Other
1996,Saskatchewan,X Gender,"No, do not feel lonely",10.8,25 to 64 years,Living with two parents
1996,Saskatchewan,X Gender,"Yes, feels lonely",48.7,25 to 64 years,Not living with any parent
1996,Manitoba,X Gender,"Sometimes, feels lonely",19.4,25 to 64 years,Other
1996,Saskatchewan,X Gender,"Yes, feels lonely",58.7,25 to 64 years,Living with lone parent
1996,Manitoba,X Gender,"Sometimes, feels lonely",21.1,5 to 10 years,Other
1996,Ontario,X Gender,"Sometimes, feels lonely",31.4,20 to 24 years,Not living with any parent
1996,Quebec,X Gender,"Yes, feels lonely",41.1,20 to 24 years,Not living with any parent
1996,Ontario,X Gender,"Yes, feels lonely",52.6,15 to 19 years,Not living with any parent
1996,Quebec,X Gender,"Sometimes, feels lonely",16.0,15 to 19 years,Other
1996,Saskatchewan,X Gender,"Sometimes, feels lonely",33.9,0 to 4 years,Other
1996,Quebec,X Gender,"No, do not feel lonely",7.7,15 to 19 years,Living with two parents
1996,Quebec,X Gender,"Sometimes, feels lonely",25.3,15 to 19 years,Living with lone parent
1996,Quebec,X Gender,"Yes, feels lonely",66.1,15 to 19 years,Not living with any parent
1996,Quebec,X Gender,"Sometimes, feels lonely",22.8,20 to 24 years,Other
1996,Ontario,X Gender,"Sometimes, feels lonely",16.1,25 to 64 years,Other
1996,Ontario,X Gender,"No, do not feel lonely",8.8,25 to 64 years,Living with two parents
1996,Ontario,X Gender,"Sometimes, feels lonely",38.9,25 to 64 years,Living with lone parent
1996,Ontario,X Gender,"Sometimes, feels lonely",35.1,25 to 64 years,Not living with any parent
1996,Ontario,X Gender,"Sometimes, feels lonely",18.3,0 to 4 years,Other
1996,Ontario,X Gender,"No, do not feel lonely",11.3,0 to 4 years,Living with two parents
1996,Ontario,X Gender,"Yes, feels lonely",58.3,0 to 4 years,Living with lone parent
1996,Ontario,X Gender,"Sometimes, feels lonely",15.4,11 to 14 years,Other
1996,Ontario,X Gender,"No, do not feel lonely",8.9,11 to 14 years,Living with two parents
1996,Ontario,X Gender,"Sometimes, feels lonely",39.3,11 to 14 years,Living with lone parent
1996,Ontario,X Gender,"Yes, feels lonely",55.3,11 to 14 years,Not living with any parent
1996,Ontario,X Gender,"Sometimes, feels lonely",16.7,5 to 10 years,Other
1996,Ontario,X Gender,"No, do not feel lonely",9.8,5 to 10 years,Living with two parents
1996,Ontario,X Gender,"Yes, feels lonely",46.4,5 to 10 years,Living with lone parent
1996,Ontario,X Gender,"No, do not feel lonely",12.4,15 to 19 years,Other
1996,Ontario,X Gender,"No, do not feel lonely",6.6,15 to 19 years,Living with two parents
1996,Ontario,X Gender,"Sometimes, feels lonely",22.7,15 to 19 years,Living with lone parent
1996,Ontario,X Gender,"Sometimes, feels lonely",16.2,20 to 24 years,Other
1996,Saskatchewan,X Gender,"Sometimes, feels lonely",17.5,0 to 4 years,Living with two parents
1996,Alberta,X Gender,"Sometimes, feels lonely",34.9,25 to 64 years,Living with lone parent
1996,Saskatchewan,X Gender,"Sometimes, feels lonely",20.1,11 to 14 years,Other
1996,Alberta,X Gender,"No, do not feel lonely",12.6,20 to 24 years,Other
1996,Alberta,X Gender,"Sometimes, feels lonely",20.0,20 to 24 years,Not living with any parent
1996,British Columbia,X Gender,"Sometimes, feels lonely",17.0,25 to 64 years,Other
1996,British Columbia,X Gender,"No, do not feel lonely",9.8,25 to 64 years,Living with two parents
1996,British Columbia,X Gender,"Yes, feels lonely",46.1,25 to 64 years,Living with lone parent
1996,British Columbia,X Gender,"Sometimes, feels lonely",26.0,25 to 64 years,Not living with any parent
1996,British Columbia,X Gender,"Sometimes, feels lonely",17.5,0 to 4 years,Other
1996,British Columbia,X Gender,"No, do not feel lonely",13.0,0 to 4 years,Living with two parents
1996,British Columbia,X Gender,"Yes, feels lonely",58.8,0 to 4 years,Living with lone parent
1996,British Columbia,X Gender,"Sometimes, feels lonely",16.3,11 to 14 years,Other
1996,British Columbia,X Gender,"No, do not feel lonely",8.8,11 to 14 years,Living with two parents
1996,British Columbia,X Gender,"Yes, feels lonely",47.8,11 to 14 years,Living with lone parent
1996,British Columbia,X Gender,"Sometimes, feels lonely",32.5,11 to 14 years,Not living with any parent
1996,British Columbia,X Gender,"Sometimes, feels lonely",15.2,5 to 10 years,Other
1996,British Columbia,X Gender,"No, do not feel lonely",8.4,5 to 10 years,Living with two parents
1996,British Columbia,X Gender,"Yes, feels lonely",49.7,5 to 10 years,Living with lone parent
1996,British Columbia,X Gender,"Sometimes, feels lonely",18.3,15 to 19 years,Other
1996,British Columbia,X Gender,"No, do not feel lonely",9.8,15 to 19 years,Living with two parents
1996,British Columbia,X Gender,"Yes, feels lonely",44.5,15 to 19 years,Living with lone parent
1996,British Columbia,X Gender,"Sometimes, feels lonely",35.9,15 to 19 years,Not living with any parent
1996,British Columbia,X Gender,"Sometimes, feels lonely",18.7,20 to 24 years,Other
1996,British Columbia,X Gender,"Sometimes, feels lonely",24.9,20 to 24 years,Not living with any parent
1996,Quebec,X Gender,"Yes, feels lonely",48.1,5 to 10 years,Living with lone parent
1996,Alberta,X Gender,"Yes, feels lonely",45.1,15 to 19 years,Not living with any parent
1996,Saskatchewan,X Gender,"Yes, feels lonely",83.6,0 to 4 years,Living with lone parent
1996,Alberta,X Gender,"Sometimes, feels lonely",31.3,15 to 19 years,Living with lone parent
1996,Alberta,X Gender,"Sometimes, feels lonely",18.0,15 to 19 years,Other
1996,Saskatchewan,X Gender,"No, do not feel lonely",9.9,11 to 14 years,Living with two parents
1996,Saskatchewan,X Gender,"Yes, feels lonely",51.4,11 to 14 years,Living with lone parent
1996,Saskatchewan,X Gender,"Yes, feels lonely",60.7,11 to 14 years,Not living with any parent
1996,Saskatchewan,X Gender,"Sometimes, feels lonely",22.1,5 to 10 years,Other
1996,Saskatchewan,X Gender,"No, do not feel lonely",12.1,5 to 10 years,Living with two parents
1996,Saskatchewan,X Gender,"Yes, feels lonely",56.7,5 to 10 years,Living with lone parent
1996,Saskatchewan,X Gender,"Sometimes, feels lonely",16.1,15 to 19 years,Other
1996,Saskatchewan,X Gender,"Sometimes, feels lonely",35.7,15 to 19 years,Living with lone parent
1996,Saskatchewan,X Gender,"Yes, feels lonely",58.3,15 to 19 years,Not living with any parent
1996,Saskatchewan,X Gender,"Sometimes, feels lonely",28.4,20 to 24 years,Other
1996,Saskatchewan,X Gender,"Yes, feels lonely",43.4,20 to 24 years,Not living with any parent
1996,Alberta,X Gender,"Sometimes, feels lonely",15.7,25 to 64 years,Other
1996,Alberta,X Gender,"No, do not feel lonely",10.6,25 to 64 years,Living with two parents
1996,Alberta,X Gender,"Sometimes, feels lonely",23.7,25 to 64 years,Not living with any parent
1996,Alberta,X Gender,"No, do not feel lonely",10.4,0 to 4 years,Other
1996,Alberta,X Gender,"No, do not feel lonely",8.6,0 to 4 years,Living with two parents
1996,Alberta,X Gender,"Sometimes, feels lonely",18.4,11 to 14 years,Other
1996,Alberta,X Gender,"No, do not feel lonely",12.5,11 to 14 years,Living with two parents
1996,Alberta,X Gender,"Sometimes, feels lonely",38.4,11 to 14 years,Living with lone parent
1996,Alberta,X Gender,"Yes, feels lonely",40.5,11 to 14 years,Not living with any parent
1996,Alberta,X Gender,"Sometimes, feels lonely",18.5,5 to 10 years,Other
1996,Alberta,X Gender,"No, do not feel lonely",13.5,5 to 10 years,Living with two parents
1996,Alberta,X Gender,"Yes, feels lonely",41.4,5 to 10 years,Living with lone parent
1996,Alberta,X Gender,"No, do not feel lonely",10.1,15 to 19 years,Living with two parents
1996,Quebec,X Gender,"No, do not feel lonely",12.8,5 to 10 years,Living with two parents
1996,Nova Scotia,X Gender,"Yes, feels lonely",49.5,15 to 19 years,Living with lone parent
1996,Quebec,X Gender,"Yes, feels lonely",67.1,11 to 14 years,Not living with any parent
1996,Newfoundland and Labrador,X Gender,"Sometimes, feels lonely",36.0,0 to 4 years,Other
1996,Newfoundland and Labrador,X Gender,"Sometimes, feels lonely",31.3,0 to 4 years,Living with two parents
1996,Newfoundland and Labrador,X Gender,"Sometimes, feels lonely",24.8,11 to 14 years,Other
1996,Newfoundland and Labrador,X Gender,"Sometimes, feels lonely",18.0,11 to 14 years,Living with two parents
1996,Newfoundland and Labrador,X Gender,"Yes, feels lonely",57.6,11 to 14 years,Living with lone parent
1996,Newfoundland and Labrador,X Gender,"Yes, feels lonely",80.0,11 to 14 years,Not living with any parent
1996,Newfoundland and Labrador,X Gender,"Sometimes, feels lonely",25.4,5 to 10 years,Other
1996,Newfoundland and Labrador,X Gender,"Sometimes, feels lonely",19.6,5 to 10 years,Living with two parents
1996,Newfoundland and Labrador,X Gender,"Yes, feels lonely",65.5,5 to 10 years,Living with lone parent
1996,Newfoundland and Labrador,X Gender,"Sometimes, feels lonely",23.8,15 to 19 years,Other
1996,Newfoundland and Labrador,X Gender,"No, do not feel lonely",14.8,15 to 19 years,Living with two parents
1996,Newfoundland and Labrador,X Gender,"Yes, feels lonely",40.6,15 to 19 years,Living with lone parent
1996,Newfoundland and Labrador,X Gender,"Yes, feels lonely",93.5,15 to 19 years,Not living with any parent
1996,Newfoundland and Labrador,X Gender,"Sometimes, feels lonely",22.1,20 to 24 years,Other
1996,Newfoundland and Labrador,X Gender,"Yes, feels lonely",45.5,20 to 24 years,Not living with any parent
1996,Prince Edward Island,X Gender,"Sometimes, feels lonely",15.2,25 to 64 years,Other
1996,Prince Edward Island,X Gender,"No, do not feel lonely",10.8,25 to 64 years,Living with two parents
1996,Prince Edward Island,X Gender,"Sometimes, feels lonely",33.9,25 to 64 years,Living with lone parent
1996,Prince Edward Island,X Gender,"No, do not feel lonely",13.3,0 to 4 years,Other
1996,Prince Edward Island,X Gender,"Sometimes, feels lonely",17.0,11 to 14 years,Other
1996,Prince Edward Island,X Gender,"No, do not feel lonely",13.7,11 to 14 years,Living with two parents
1996,Prince Edward Island,X Gender,"Sometimes, feels lonely",32.4,11 to 14 years,Living with lone parent
1996,Prince Edward Island,X Gender,"Sometimes, feels lonely",16.6,5 to 10 years,Other
1996,Newfoundland and Labrador,X Gender,"Yes, feels lonely",54.3,25 to 64 years,Not living with any parent
1996,Prince Edward Island,X Gender,"No, do not feel lonely",12.8,5 to 10 years,Living with two parents
1996,Newfoundland and Labrador,X Gender,"Yes, feels lonely",52.6,25 to 64 years,Living with lone parent
1996,Newfoundland and Labrador,X Gender,"Sometimes, feels lonely",25.6,25 to 64 years,Other
1996,Territories,X Gender,"Sometimes, feels lonely",17.7,25 to 64 years,Other
1996,Quebec,X Gender,"Sometimes, feels lonely",19.4,5 to 10 years,Other
1996,Territories,X Gender,"Yes, feels lonely",42.2,25 to 64 years,Living with lone parent
1996,Territories,X Gender,"Sometimes, feels lonely",35.4,25 to 64 years,Not living with any parent
1996,Territories,X Gender,"Sometimes, feels lonely",18.7,0 to 4 years,Other
1996,Territories,X Gender,"No, do not feel lonely",12.4,0 to 4 years,Living with two parents
